distance,speed_A,speed_B,throttle_A,throttle_B,brake_A,brake_B,gear_A,gear_B
0,180,180,100,100,0,0,4,4
25,187.5,187.5,100,100,0,0,4,4
50,195,195,100,100,0,0,4,4
75,202.5,202.5,100,100,0,0,5,5
100,210,210,100,100,0,0,5,5
125,217.5,217.5,100,100,0,0,5,5
150,225,225,100,100,0,0,5,5
175,232.5,232.5,100,100,0,0,5,5
200,240,240,100,100,0,0,5,5
225,247.5,247.5,100,100,0,0,5,5
250,255,255,100,100,0,0,6,6
275,262.5,262.5,100,100,0,0,6,6
300,270,270,100,100,0,0,6,6
325,277.5,277.5,100,100,0,0,6,6
350,285,285,100,100,0,0,6,6
375,292.5,292.5,100,100,0,0,7,7
400,300,300,100,100,0,0,7,7
425,277.5,289.5,0,100,1,0,6,6
450,255,267,0,0,1,1,6,6
475,232.5,244.5,0,0,1,1,5,5
500,210,222,0,0,1,1,5,5
525,187.5,199.5,0,0,1,1,4,4
550,165,177,0,0,1,1,4,4
575,142.5,154.5,0,0,1,1,3,4
600,120,120,0,0,1,1,3,3
625,131.25,123.25,100,0,0,0,3,3
650,142.5,134.5,100,0,0,0,3,3
675,153.75,145.75,100,100,0,0,4,3
700,165,157,100,100,0,0,4,4
725,176.25,168.25,100,100,0,0,4,4
750,187.5,179.5,100,100,0,0,4,4
775,198.75,190.75,100,100,0,0,4,4
800,210,202,100,100,0,0,5,5
825,221.25,213.25,100,100,0,0,5,5
850,232.5,224.5,100,100,0,0,5,5
875,243.75,243.75,100,100,0,0,5,5
900,255,255,100,100,0,0,6,6
925,266.25,266.25,100,100,0,0,6,6
950,277.5,277.5,100,100,0,0,6,6
975,288.75,288.75,100,100,0,0,6,6
1000,300,300,100,100,0,0,7,7
1025,281.25,281.25,0,0,1,1,6,6
1050,262.5,272.5,0,0,1,1,6,6
1075,243.75,253.75,0,0,1,1,5,6
1100,225,235,0,0,1,1,5,5
1125,206.25,216.25,0,0,1,1,5,5
1150,187.5,197.5,0,0,1,1,4,4
1175,168.75,178.75,0,0,1,1,4,4
1200,150,160,0,100,1,1,4,4
1225,159.375,169.375,100,100,0,0,4,4
1250,168.75,178.75,100,100,0,0,4,4
1275,178.125,188.125,100,100,0,0,4,4
1300,187.5,197.5,100,100,0,0,4,4
1325,196.875,196.875,100,100,0,0,4,4
1350,206.25,206.25,100,100,0,0,5,5
1375,215.625,215.625,100,100,0,0,5,5
1400,225,225,100,100,0,0,5,5
1425,234.375,234.375,100,100,0,0,5,5
1450,243.75,243.75,100,100,0,0,5,5
1475,253.125,253.125,100,100,0,0,6,6
1500,262.5,262.5,100,100,0,0,6,6
1525,271.875,271.875,100,100,0,0,6,6
1550,281.25,281.25,100,100,0,0,6,6
1575,290.625,290.625,100,100,0,0,7,7
1600,300,300,100,100,0,0,7,7
1625,283.75,283.75,0,0,1,1,6,6
1650,267.5,267.5,0,0,1,1,6,6
1675,251.25,251.25,0,0,1,1,6,6
1700,235,235,0,0,1,1,5,5
1725,218.75,218.75,0,0,1,1,5,5
1750,202.5,202.5,0,0,1,1,5,5
1775,186.25,186.25,0,0,1,1,4,4
1800,170,175,0,0,1,1,4,4
1825,183.75,188.75,100,100,0,0,4,4
1850,197.5,202.5,100,100,0,0,4,5
1875,211.25,216.25,100,100,0,0,5,5
1900,225,230,100,100,0,0,5,5
1925,238.75,243.75,100,100,0,0,5,5
1950,252.5,257.5,100,100,0,0,6,6
1975,266.25,271.25,100,100,0,0,6,6
2000,280,285,100,100,0,0,6,6
